time,precipitation_sum,temperature_2m_mean,et0_fao_evapotranspiration,city,water_balance,SPI,precip_lag1,temp_lag1,precip_lag2,temp_lag2,precip_lag3,temp_lag3,precip_rolling3,precip_rolling6,temp_rolling3,et0_rolling3,month,season,season_encoded,drought_label
2000-06-01,1.6,24.91333333333333,187.4,Agadir,-185.8,0.4442625503686959,3.8,19.96451612903226,94.1,16.673333333333332,0.3,20.748387096774195,33.166666666666664,18.73333333333333,20.51706093189964,155.54666666666668,6,Summer,2,No Drought
2000-07-01,0.0,25.706451612903223,190.21,Agadir,-190.21,-0.7419525033351659,1.6,24.91333333333333,3.8,19.96451612903226,94.1,16.673333333333332,1.8,16.85,23.528100358422936,178.28333333333333,7,Summer,2,No Drought
2000-08-01,0.0,26.10322580645161,175.72,Agadir,-175.72,-0.7898549178311773,0.0,25.706451612903223,1.6,24.91333333333333,3.8,19.96451612903226,0.5333333333333333,16.633333333333336,25.57433691756272,184.4433333333333,8,Summer,2,No Drought
2000-09-01,0.0,23.10333333333333,138.28,Agadir,-138.28,-0.8100243555137084,0.0,26.10322580645161,0.0,25.706451612903223,1.6,24.91333333333333,0.0,16.583333333333332,24.97100358422939,168.07000000000002,9,Autumn,3,No Drought
2000-10-01,2.3,20.8,122.6,Agadir,-120.3,-0.78103078884507,0.0,23.10333333333333,0.0,26.10322580645161,0.0,25.706451612903223,0.7666666666666666,1.2833333333333332,23.335519713261647,145.53333333333333,10,Autumn,3,No Drought
2000-11-01,0.9,17.333333333333332,83.21,Agadir,-82.30999999999999,-0.7696854801486462,2.3,20.8,0.0,23.10333333333333,0.0,26.10322580645161,1.0666666666666669,0.7999999999999999,20.412222222222223,114.69666666666666,11,Autumn,3,No Drought
2000-12-01,139.3,16.00967741935484,71.25,Agadir,68.05000000000001,0.98631618808672,0.9,17.333333333333332,2.3,20.8,0.0,23.10333333333333,47.5,23.75,18.04767025089605,92.35333333333334,12,Winter,0,No Drought
2001-01-01,6.0,14.59032258064516,70.34,Agadir,-64.34,1.032958012727573,139.3,16.00967741935484,0.9,17.333333333333332,2.3,20.8,48.73333333333333,24.75,15.97777777777778,74.93333333333334,1,Winter,0,No Drought
2001-02-01,0.0,16.20357142857143,101.21,Agadir,-101.21,1.0216127040311496,6.0,14.59032258064516,139.3,16.00967741935484,0.9,17.333333333333332,48.43333333333334,24.75,15.601190476190476,80.93333333333334,2,Winter,0,No Drought
2001-03-01,11.9,19.27741935483871,140.71,Agadir,-128.81,-0.5843787714403915,0.0,16.20357142857143,6.0,14.59032258064516,139.3,16.00967741935484,5.966666666666666,26.73333333333333,16.690437788018432,104.08666666666666,3,Spring,1,No Drought
2001-04-01,0.1,20.203333333333333,155.93,Agadir,-155.83,-0.658753572894725,11.9,19.27741935483871,0.0,16.20357142857143,6.0,14.59032258064516,4.0,26.366666666666664,18.561441372247824,132.61666666666667,4,Spring,1,No Drought
2001-05-01,0.2,19.94193548387097,164.96,Agadir,-164.76000000000002,-0.6562323931844086,0.1,20.203333333333333,11.9,19.27741935483871,0.0,16.20357142857143,4.066666666666667,26.25,19.80756272401434,153.86666666666667,5,Spring,1,No Drought
